"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"0061056774";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0061081450";"0061081450";"0061083259";"0061087017";"0061094404";"0671793489";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0061083259";"0061081450";"0061083259";"0061087017";"0061094404";"0671793489";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0061087017";"0061081450";"0061083259";"0061087017";"0061094404";"0671793489";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0061094404";"0061081450";"0061083259";"0061087017";"0061094404";"0671793489";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0061096261";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0061097101";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0064404773";"0064404773";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0064405176";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0064407667";"0064407667";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0064430227";"0064430227";"0812533550";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"0066210151";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0075536498";"0075536498";"0099287692";"0099845008";"0330262130";"0385720920";"0553262505";"3442430496";"3442446325";"3453171500";"3464371506";"000225669X"
"0091830893";"0091830893";"0586207414";"0812571029";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0099268345";"0099268345";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0099283697";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0099287692";"0075536498";"0099287692";"0099845008";"0330262130";"0385720920";"0553262505";"3442430496";"3442446325";"3453171500";"3464371506";"000225669X"
"0099414732";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"0099460343";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0099543818";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0099549611";"000225669X";"0099549611";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"009975181X";"009975181X";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0099845008";"0075536498";"0099287692";"0099845008";"0330262130";"0385720920";"0553262505";"3442430496";"3442446325";"3453171500";"3464371506";"000225669X"
"0099935708";"0099935708";"0140118608";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"0140062718";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140118608";"0099935708";"0140118608";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"014014899X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140154078";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"0140182551";"0140182551";"0446310786";"0886776783";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0140187758";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140252517";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"0140260498";"0140260498";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0140269967";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140270272";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140279091";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140327592";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140328742";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140366830";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140367446";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140367616";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0140621741";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0141011904";"0141011904";"3423201509";"3423206616";"344242529";"3446200452";"349223903X";"3499231603";"3704320196";"3886807843";"360893541X";"3608935428"
"0141181222";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0141310340";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0142302198";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"014366020444";"00273755";"014366020444";"8496075850";"8804407808";"8804464895";"8807810751";"880781112X";"8817106100";"8817112917";"8833908488";"8838910987"
"0151010633";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0151446474";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0155061224";"0155061224";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0156006065";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0192834312";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0194216748";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"0240514866";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0299164942";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0312169817";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0312244266";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0312253397";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0312283709";"0312283709";"0446605484";"0446611212";"0451207955";"0609804138";"074343627X";"0971880107";"000225669X";"0006379702";"000651118X";"002542730X"
"0312331754";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0312864590";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"031286504X";"031286504X";"0345342968";"0767903382";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0312874243";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0312925689";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0312960344";"0312960344";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0312966970";"0312966970";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0312979517";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0312983271";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0316152196";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0316154059";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0316154601";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0316287555";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0316666343";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0316781266";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0330201700";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0330262130";"0075536498";"0099287692";"0099845008";"0330262130";"0385720920";"0553262505";"3442430496";"3442446325";"3453171500";"3464371506";"000225669X"
"0330332775";"0330332775";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0330367358";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0330373269";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"033390804X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0340818182";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345249372";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345342968";"031286504X";"0345342968";"0767903382";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0345348664";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345348672";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0345354621";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0345385764";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345391810";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"034541389X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345423402";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345425596";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345435036";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"034544003X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345443683";"0345443683";"043935806X";"055310666X";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0345446860";"0345446860";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0345450175";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"034545104X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0345452550";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0373250223";"0373250223";"0451097009";"0451179994";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0375400699";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0375700668";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0375706038";"006054094X";"0375706038";"081297106X";"0843951826";"1400032628";"1585861553";"000225669X";"0006379702";"000651118X";"002542730X";"00273755"
"0375727981";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0375756981";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0375760911";"0060930187";"0375760911";"0689817851";"0874869870";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0375821813";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0375901582";"0375901582";"0439317746";"0440228840";"0738205737";"0440414121";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0380000059";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0380005239";"0380005239";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0380711524";"0380711524";"3453092007";"3453213025";"N3453124715";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0380724987";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0380726246";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0380731851";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"038076041X";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0380807343";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0380816059";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0380975017";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0385264356";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0385272324";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0385305389";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0385334141";"0385334141";"0425191184";"0751503894";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"038550120X";"038550120X";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0385503822";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0385504209";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"0385720920";"0075536498";"0099287692";"0099845008";"0330262130";"0385720920";"0553262505";"3442430496";"3442446325";"3453171500";"3464371506";"000225669X"
"0385729340";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0393045390";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0393319296";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0394543289";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0395547032";"0395547032";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0399135804";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399138188";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0399138684";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0399139419";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0399141340";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399146466";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399146504";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399146687";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399147101";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399147144";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0399147322";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0399147624";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399148337";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399148450";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0399148639";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399148728";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399149783";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0399150811";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399150870";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0399151451";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399151478";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"039915177X";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0399151885";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0425104273";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0425115801";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0425131378";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"042513976X";"042513976X";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0425167097";"0425167097";"042518109X";"0425188221";"8500010452";"8501023450";"8571648972";"8588615126";"8589885291";"000225669X";"0006379702";"000651118X"
"0425172546";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0425175405";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0425178102";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"042518109X";"0425167097";"042518109X";"0425188221";"8500010452";"8501023450";"8571648972";"8588615126";"8589885291";"000225669X";"0006379702";"000651118X"
"0425182150";"0425182150";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0425182932";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0425183181";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0425188221";"0425167097";"042518109X";"0425188221";"8500010452";"8501023450";"8571648972";"8588615126";"8589885291";"000225669X";"0006379702";"000651118X"
"0425189864";"0425189864";"0440236053";"0440241073";"0553586122";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0425191184";"0385334141";"0425191184";"0751503894";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0434009407";"0434009407";"1841193887";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
